Statement,Disease
"মাছের শরীরটা এখন আর মাছের নাই, এইটা এখন লাখ লাখ উকুনের একটা চলমান রাজ্য।",Argulosis
"মাছটার চোখ দুইটা ফুইলা এমন হইছে যে মনে হয় দুইটা মার্বেল বসানো। মাছটা আর আগের মতো খেলে না, খালি ঝিমায়।",Pop Eye
মাছগুলা পুকুরের পাড়ে আইসা এমনভাবে আছাড় খায় যে শরীর ছিলা যায়। মনে হয় পানির ভিতরে ওদের দম বন্ধ হইয়া আসে।,Streptococcosis
"চোখ আর পেট দুটোই ফোলা, মাছটার অবস্থা দেখে খুব খারাপ লাগছে।",Dropsy
পুকুরের পানি এখন এত ভারী হইয়া গেছে যে জাল টানতেও আগের চেয়ে বেশি কষ্ট হয়।,Epizootic Ulcerative Syndrome
আমার চোখের সামনেই মাছটার গায়ের লাল দাগটা বড় হইয়া একটা পচা ক্ষতে পরিণত হইলো।,Epizootic Ulcerative Syndrome
"মাছটা ঠাণ্ডা লাগতেছে হাতে নিলে। গা খসখসে হয়ে গেছে, আর পিঠে উকুন ধরা।",Argulosis
"মাছের গায়ের চামড়াটা পাতলা হইয়া উইঠা যাইতেছে, আর নিচের মাংসটা লাল। মাছটা যন্ত্রণায় খালি এদিক-ওদিক ছটফট করে।",Hemorrhagic Septicemia
আমার সব মাছের পাখনাগুলা কেমন জানি নরম হইয়া নুইয়া পড়তেসে।,Fin and Tail Rot
"পুকুরের ধারে এখন আর বক বা অন্য পাখিও নামে না, মনে হয় ওরাও জানে এইখানকার মাছ ভালো না।",Epizootic Ulcerative Syndrome
"এই উকুনের জ্বালায় মাছগুলার শরীরে আর কোনো মাংসই নাই, খালি কাঁটা আর চামড়াটাই বাকি আছে।",Argulosis
"মাছগুলা আর দলের সাথে থাকে না, একা একা ঘোরে। কাছে গেলেই দেখা যায় গায়ে লাল চাকা।",Hemorrhagic Septicemia
"এই রোগটা হইলে মাছের আর কোনো দামই থাকে না, মানুষ ঐটারে দেইখা ভয় পায়।",Fin and Tail Rot
"এই শুক্রবারের রাইতে আমার সব মাছ শ্যাষ হইয়ে গেল, খালি কানকোতে এই পচন ধইরে।",Gill Rot
"গা ধইরা তুলতেই পিচ্ছিল লাগে, টান দিতেই রক্ত। কামড়ের গর্তে পোকা বসে আছে।",Argulosis
আমার সব মাছের লেজগুলা কেমন জানি চিকন সুতার মত হইয়া যাইতেছে।,Fin and Tail Rot
মাছগুলার গায়ের আঁশগুলা এমনভাবে খাড়া হইয়া থাকে যে দেখতে আনারসের মতো লাগে। আর পেটটাও তো ফুলাই।,Streptococcosis
"মাছের শ্বাস নেওয়ার সময় ঘরঘর একটা শব্দ হইতেছে, কানকোটা তুইলা দেখি সব নষ্ট হইয়া গেছে।",Gill Rot
মাছটা এত দুর্বল যে আর পানির তলে ডুব দেওয়ার শক্তিও নাই।,Gill Rot
মাছগুলার গায়ে লাল লাল ছোপ দেখা যাইতাছে। কানকোর গুটির লগে এইটাও নতুন উপসর্গ।,Myxoboliasis
পাঙ্গাস মাছটার গায়ে যেন কেউ পুরান দড়ির আঁশ জড়াই দিছে। মাছটা আর ডুব দিতে পারতেছে না।,Saprolegniasis
মইরা যাওয়া মাছগুলার কানশা দিয়া এখনো কেমন জানি বাজে একটা রস বাইরোচ্চে।,Gill Rot
মাছ কাইটা দেখি পেটের ভিতরের নাড়িভুঁড়ি সব পইচা গেছে। এই মাছ খাইলে তো মানুষও মরব।,Streptococcosis
মাছগুলার লেজের গোড়াটা এমনভাবে পচে যে মাংস খইসা পড়ে। এই রোগ তো দেখি জ্যান্ত মাছরেই গলাইয়া ফালাইতাছে।,Streptococcosis
"চোখ দুইডা ঘোলা আর বাইরে, মাছটা মনে হয় কানা হইয়া গ্যাছে।",Dropsy
আমার চিতল মাছগুলার পিঠের উপর গুটি বাইর হইছে। এইগুলা আস্তে আস্তে সারা গায়ে ছড়াইয়া যাইতাছে।,Myxoboliasis
বোয়াল মাছটার মুখের কষ দিয়া সাদা ফেনার মতো বাইর হইতাছে। মাছটা আর কিছুই গিলতে পারতেছে না।,Saprolegniasis
মাছের গায়ে কি কোনো কেমিক্যাল লাগছে? চামড়াটা কেমন পুইড়া যাওয়ার মতো হইছে আর তার উপরেই ছত্রাক।,Saprolegniasis
মাছের গায়ে কি কোনো আগাছা জমছে? এমনভাবে শেকড় গজাইছে যে উঠানোই যায় না।,White Spot Disease
"মাছগুলার ফুলকা খুললে দেখা যায় ভিতরে রক্ত নাই, সব সাদা হইয়া গেছে। এইজন্যই মাছগুলা দুর্বল।",Streptococcosis
"মাছগুলার মুখের ভিতরে আর ঠোঁটে ছোট ছোট সাদা ঘা হইছে, আর ওইখান থাইকা পুঁজ বাইর হয়। এইজন্যই মাছগুলা কিছুই খাইতে পারে না।",Streptococcosis
"মাছটা শ্বাস নিতে কষ্ট করতেছে, পেটটা ফুলি মনে হয় বুকের উপর চাপ দিচ্চে।",Dropsy
মাছটারে তুললে দেহে সাদা সাদা গুঁড়া ফুইটা পড়ে। আগের মতো তরতরাইয়া চলতেও পারতেছে না।,White Spot Disease
"যে মাছটার চোখ বাইর হইছে, হেইডা আর এক দিনের বেশি থাকে না।",Dropsy
"মাছের আর জোয়ান ভাব নাই, লেজ পইচা যাওয়ায় কেমন বুড়া হয়া গ্যাছে।",Fin and Tail Rot
এই রোগে মাছের গায়ের রঙটা এমনভাবে কালা হয় যে দেইখা মনে হয় মাছটারে কয়লার চুলায় ঝলসানো হইছে। এই মাছ কেউ কিনব না।,Streptococcosis
মাছগুলার এই দশা দেইখে আমার নিজেরই গায়ে কেমন জানি চুলকানি শুরু হইয়ে গেছে।,Argulosis
"বাজারে এখন ঘা-ওয়ালা মাছ আর ভালো মাছ আলাদা কইরা বেচতে হয়, কিন্তু মানুষ তাও নিতে চায় না।",Epizootic Ulcerative Syndrome
মাছগুলার মুখ আর কানকো থাইকা ফেনা বাইর হয়। শ্বাস নিতে না পাইরা এই অবস্থা হইছে।,Myxoboliasis
"মাছের লেজটা দেখতে এখন একটা পুরান ঝাড়ুর মাথার মতো হইয়া গেছে, সব খালি ছিঁড়া ছিঁড়া।",Fin and Tail Rot
"মাছগুলার চোখ দুইটা শুধু ফোলাই নাই, চোখের মণিটাও সাদা হইয়া গেছে। মাছগুলা মনে হয় দুনিয়াটাই অন্ধকার দেখতাছে।",Streptococcosis
"মাছগুলার গায়ের রঙটা কেমন জানি ছাইয়ের মতো হইয়া গেছে, আর চোখ দুইটা ফুইলা আছে। মাছের আগের সেই জৌলুস আর নাই।",Streptococcosis
এইবার নতুন পানি দেওয়ার পর থাইকাই মাছের এই দশা শুরু হইছে। মনে হয় পানির সাথেই এই আজাব আইছে।,Hemorrhagic Septicemia
"যে মাছগুলার লেজ নাই, সেগুলা আর অন্য মাছের সাথে জায়গা নিয়া মারামারিও করতে পারে না।",Fin and Tail Rot
"মাছের গায়ে যে পিচ্ছিল আঠাটা থাকে, সেটা একদমই নাই। শরীরটা পুরা খড়খড়া হইয়া গেছে।",White Spot Disease
মাছগুলার ফুলকার গঠনটাই আর স্বাভাবিক নাই। দেইখা মনে হয় অন্য কোনো প্রাণীর ফুলকা।,Myxoboliasis
"এইবার শীতে মাছের গায়ে যে লাল দাগ ধরসে, সেইটা আর ছাড়ার নামই নিতেসে না।",Epizootic Ulcerative Syndrome
"আঁশগুলার তলে চামড়াটা লাল হইয়া আছে, মনে হয় ঘা হইবো।",Dropsy
"তেলাপিয়া মাছগুলার আঁশ উইঠা গিয়া চামড়াটা টকটকা লাল। মাছগুলা কেমন দুর্বল, স্রোতেও ভাইসা যায়।",Red Spot Disease
পানির মইধ্যে কি কোনো রোগ আইলো? সব মাছের গায়ে লাল দাগ আর পেট ফুলা।,Hemorrhagic Septicemia
"চোখ দুইডা এমনভাবে ফুলছে যে মনে হয় চোখের পাতা আর বন্ধই হয় না, সারাক্ষণ খোলা।",Dropsy
"ক্ষতটা এত গভীর যে মাছের শরীরের হাড় পর্যন্ত দেখা যায়, কি যে এক অবস্থা।",Epizootic Ulcerative Syndrome
"চ্যাপ্টা পোকাগুলা গায়ে এমনভাবে বসে আছে, তুললে রস বের হয়। কামড়ের দাগ লাল হয়ে গিয়েছে।",Argulosis
"যে মাছটার কানকো পচা, হেইটার শরীর থাইকাও গন্ধ বাইর হয়।",Gill Rot
"পুকুরের পাড়ের সাথে খালি গা ঘষাঘষি করে। চাইয়া দেখি, গায়ের উপ্রে ধুসর রঙের শ্যাওলার আস্তরণ।",Saprolegniasis
ধরা মাত্রই রক্ত ঝরে গা থাইকা। পিঠের ওপরে দাগ আর ফাটল।,Argulosis
"চোখের আশপাশে এমন কিছু বসে আছে, মাছটা চোখ খুইলা রাখতেছে না। পানির মধ্যে বারবার ঘষতেছে গা।",Argulosis
"এই সাদা দাগগুলা শুধু গায়ে না, পেটের তলেও হইছে। মাছটা আর মাটিতে বসতে পারে না।",White Spot Disease
"আমার মৃগেল মাছগুলার ফুলকাগুলা বিবর্ণ হইয়া গেছে, আর খাওয়া-দাওয়া একদম ছাইড়া দিছে।",Gill Rot
পানির নিচে না গিয়া সবসময় উপরেই ঘুইরা বেড়ায়।,Argulosis
এই রোগ হইলে মাছের গায়ে আর তেল থাকে না। হাত দিলেই কেমন শুকনা খসখসা লাগে।,Saprolegniasis
আমার সবডি মাছের গায়ে কেমুন লাল মহামারীর মতো দাগ উঠছে। এইবার আমার পুরাই মাথায় হাত।,Red Spot Disease
"গায়ে এমন দাগ উঠছে, দেইখা মনে হয় গুঁড়া চিনি ছিটানো। মাছটারে অসুস্থ লাগতেছে খুব।",White Spot Disease
"এই লাল ফোঁটাগুলা খালি বাড়ে, কমে না। মনে হয় মাছের রক্তই এই রোগের খাওন।",Red Spot Disease
"লেজের কাছে সাদা ফোঁটা জমে, মাছটা নড়াচড়া কম করে। গা ঘষতে ঘষতে ঝিমিয়ে পড়ে।",White Spot Disease
মাছের গায়ে এমন পিচ্ছিল পোকা দেখছি যা উঠাইলে পিছলা যায়।,Argulosis
পুকুরের পানি কি নষ্ট হইয়া গেল? নাইলে সব মাছের চোখ এমনে ফুলব ক্যান?,Pop Eye
"কত ওষুধ দিলাম, কিন্তু ফুলকার এই পচন তো থামে না। মাছডি খালি পানির উপ্রে মুখ তুইলা বাতাস টানে।",Myxoboliasis
"পুকুরের সব মাছের গায়ে ঘা, এখন এই পানি শোধন করা ছাড়া আর কোনো উপায় নাই।",Epizootic Ulcerative Syndrome
"মাছটা একদম চুপ, গায়ে কিছু বসে আছে যেন কামড় দিয়া রইছে।",Argulosis
"এই রোগে মাছের চোখ দুইটা সাদা হইয়া যায়, যেন ছানি পড়ছে। এইজন্যই মাছগুলা ঠিকমতো দেখতে পায় না, খালি এদিক-ওদিক ধাক্কা খায়।",Streptococcosis
"দিনের বেলা সব মাছ পুকুরের তলায় থাকে, কিন্তু সন্ধ্যা হইলেই সবগুলা উপরে আইসা ঘুরতে শুরু করে। এই রোগের মনে হয় দিন-রাত নাই।",Streptococcosis
"দিনের বেলা সব মাছ ভালো থাকে, কিন্তু রাইত হইলেই সবগুলা পানির উপরে আইসা ঘুরতে শুরু করে। এই রোগের সাথে অন্ধকারের কোনো সম্পর্ক আছে।",Streptococcosis
মাছগুলার চোখ দুইটা এমনভাবে ফুইলা উঠে যে দুইটা চোখ একসাথে লাইগা যাওয়ার মতো অবস্থা হয়। দেইখা ভয় লাগে।,Streptococcosis
"মানুষ কয়, এইটা নাকি এক প্রকারের অভিশাপ, কোনো ওষুধেই এই মাছের ঘা সারে না।",Epizootic Ulcerative Syndrome
"মাছটা হাত থেইকা পিছলাইয়া পইড়া যায়, কারণ পাখনাগুলা পইচা শরীরে আর কোনো ধার নাই।",Fin and Tail Rot
"পেট ফোলা মাছের গায়ে কেমন জানি একটা গন্ধও হইছে, আঁশটে গন্ধ।",Dropsy
"এইবার আমার কপাল পুড়সে, পুকুরের সব মাছের গায়ে এই লালচে পচা ঘা দেখা দিসে।",Epizootic Ulcerative Syndrome
"কি মড়ক লাগলো, মাছের আঁশগুলা সব খাড়া হইয়া রইছে, শরীরটা কাঁটার মতো লাগে। আর চোখ দুইটাও ঘোলা হইয়া গেছে।",Hemorrhagic Septicemia
পুকুরের পাড়ে আইসা দেখি মাছগুলা মরার আগে খালি পাক খায়। আর গায়ে লাল লাল ছোপ।,Hemorrhagic Septicemia
"আমার নামাজ-কালামও আর কবুল হইতেছে না মনে হয়, নাইলে এই গজব আমার উপর নামবে ক্যান?",Argulosis
"ছোট একটা লাল ফোঁড়া অহন বড় হইয়া পুরা পিঠটারে পঁচাইয়া ফেলছে। মাছটার দিকে আর তাকানো যায় না, ঘিন লাগে।",Red Spot Disease
"চোখ ফ্যাকাসে, লেজের পাশে সাদা দাগ, পোকা কামড়াইছে।",Argulosis
"রঙ ফ্যাকাসে হইয়া গেছে, লেজে কয়টা গর্তও দেখা যায়।",Argulosis
জাল ধরলে মাছগুলা ঠাণ্ডা ঠাণ্ডা লাগে। গায়ে সাদা গুঁড়া লাগাইয়া রাখছে যেন কেহ।,White Spot Disease
"আমার পাঙ্গাস মাছগুলার লেজের গোড়াটা লাল হইয়া ফুলে উঠছে, আর আগার দিকটা পইচা যাইতেছে।",Fin and Tail Rot
চোখ ফোলার পরে মাছটার গায়ের চামড়াও কেমন জানি খসখসা হইয়া যাইতাছে। দিন দিন অবস্থা খারাপ হইতাছে।,Pop Eye
আঁশগুলা খাড়া হইয়া মাছের শরীরটা একটা ছোট কাঁঠালের মতো দেখায়।,Dropsy
"ঘেরের সব কোণায় খালি এই পেট ফোলা মাছগুলাই দেখা যায়, বাকিরা সব মাঝখানে।",Dropsy
"শিং মাছের পোনাগুলাও বাঁচে নাই, সবগুলার গায়ে লাল দাগ। বড়গুলা তো আগেই মইরা শেষ। ",Hemorrhagic Septicemia
"আমার বউ কইসে, এইবার যদি আবার মাছের ঘায়ে লোকসান হয়, তাইলে আর মাছ চাষই করতে দিবো না।",Epizootic Ulcerative Syndrome
ফুলকাগুলাতে এমন পচন ধরছে যে মাছের গায়ে হাত দিলেই আঁশটে গন্ধ লাগে।,Gill Rot
মাছের গায়ে যেন কেউ সাদা রঙের ফেনা লাগাই দিছে। এই ফেনাতেই মাছের জীবন মিলাইয়া যায়।,Saprolegniasis
"মাছগুলা ঝিমাইয়া পুকুরের তলায় পইড়া থাকে, আবার হঠাৎ কইরা ভাইসা উইঠা গোল গোল ঘুরতে শুরু করে। কি হইসে বুঝার পারতেসি না।",Streptococcosis
"চোখের নিচে সাদা গুঁড়ার মতো বসে আছে। মাছগুলা ঠাণ্ডা হইয়া আছে, নড়ে না তেমন।",White Spot Disease
আইড় মাছটার গোঁফের গোড়ায় ঘা হইয়া রক্ত ঝরতাছে। মাছটা কেমন দিশাহারা হইয়া খালি ঘুরতাছে।,Red Spot Disease
"আমার মেয়েটা কইসে, 'বাবা, মাছগুলার গায়ে এমন ঘা ক্যান?' আমি কোনো উত্তর দিতে পারি নাই।",Epizootic Ulcerative Syndrome
এই রোগটা কি শুধু দিনের বেলাই বাড়ে? নাকি রাইতের বেলাতেও মাছের কষ্ট হয়?,White Spot Disease
"মাছগুলার গায়ের আঁশগুলা সব খাড়া হইয়া আছে, আর শরীরটা কালা হইয়া গেছে। দেইখা মনে হয় মাছের গায়ে কেউ কালি ঢাইলা দিছে।",Streptococcosis
পুকুরের সব মাছের একই লক্ষণ। কানকো খুললেই দেখা যায় সাদা সাদা ভাতের মত দানা।,Myxoboliasis
"কি হইলো মাছটার, চোখ দুইডা কোটর থাইকা বাইর হয়ার জোগাড়, আর পেটটা ফুলি আছে।",Dropsy
"কি এক রোগ আইলো, মাছের পেটটা ফুটবলের মতো হইয়া গেছে। আর পাখনাগুলার গোড়াও রক্তে লাল।",Hemorrhagic Septicemia
মাছের মুখের দুই পাশে ঘা হইয়া লাল হইয়া গেছে। খাবার দেখলেও আর আগের মতো হা করে না।,Red Spot Disease
"মাছের কানকো দুইটা এমনভাবে ফুলছে যে মনে হচ্চে এখনি ফাইটে যাবে, মাছটা খুব কষ্ট পাচ্চে।",Gill Rot
এই পেট ফোলা মাছটারে অন্য মাছগুলাও ঠোকরাইয়া সরাইয়া দেয়।,Dropsy
মাছের কানকোর ভিতর থাইকা একটা পচা গন্ধ বাইর হইতেছে।,Gill Rot
পেটটা এমনভাবে ফুলছে যে মাছটার আসল আকৃতিটাই আর বোঝা যাচ্চে না।,Dropsy
