comments,labels
"আমার সিমটা সচল হচ্ছে না,রিসার্চ করেও সচল করতে পারচ্ছি না,,কি করা যায়?",Promotional
নেটওয়ার্ক থাকে না আর অফার,Network Issue
"তাহলে যারা এতদিন টেলিটকের সিম চালু রেখেছে, তারা কি অন্যায় করেছে!?",Promotional
"একটা করেই বিপদে পরছি, ঘরের ভিতর কল আসেও না যায়ও না",Promotional
৪জি চালু হইছে???,3g/4g Issue
আপনাদের জিবি দিয়ে কি হবে যদি নেট ব্যাবহারই করতে না পারি।,Network Issue
নেটওয়ার্ক না পাওয়ার কারনে আমার টেলিটক বর্ণমালা সিমটি ২ বছর ধরে বন্ধ আছে। সিমটি চালু করতে হলে কি করতে হবে?,Network Issue
বালের সিম নেটওয়ার্ক থাকে না,Network Issue
ঢাকায় টেলিটক এর কাস্টমার কেয়ার কোথায় কোথায় আছে।সিমটি দ্রুতই সংগ্রহ করতে চাচ্ছি। লোকেশন টা জানান,Internet Package Issue
টেলিটকে প্রতি মিনিট সকল খরচ সহ কত কাটে?,Promotional
টেলিটকে কোন পেকেজ এ সুবিধা বেশি,Promotional
নেটওয়ার্ক পায়না বলে বন্ধ করে রেখেছি,Network Issue
অন করলে কি নেটওয়ার্ক পাওয়া যাবে..???,Network Issue
আগের নেটের সমস্যা সমাধান করুন।,Network Issue
সিম রিপ্লেস করা যায় কোথায়?,Call Center Issue
আমার এলাকায় তো নেটওয়ার্ক থাকে না। তাহলে,Network Issue
নতুন সিম অফার,Internet Package Issue
"নেটওয়ার্ক এর খবর নাই,অফার কি পাছায় দিবো",Network Issue
"Network এর speed-ই নাই, offer দিয়ে কী করবো?",Network Issue
"নেটওয়ার্ক ঠিক করেন।বিদ্যুৎ চলে গেলে নেটওয়ার্ক থাকে না, পাকুটিয়া, ঘাটাইল, টাংগাইল",Network Issue
শতবর্ষ পেকেজ কিভাবে বর্নমালা করবো,Promotional
দেশের সব জাগায় ৩ জি নাই কেন,3g/4g Issue
বাংলাদেশের মধ্যে বর্তমানে সেরা সিম,Promotional
এলাকায় নেট পাই না,Network Issue
ফেনী সদর Network থাকে তো আগে সেটা বলুন ?,Network Issue
আপনাদের নেট বিদ্যুতের সাথে সম্পর্কিত বিদ্যুৎ থাকলে নেট আছে নয়তো নাই। অনেক সময় বিদ্যুৎ থাকলেও থাকেনা। ভাল সার্ভিস দেন জনগন ব্যবহার করবে।,Network Issue
কতদিন সিম বন্ধ থাকা লাগবে,Promotional
চলমান সিমে কোনো অফার নেই?,Internet Package Issue
"-স্পেশাল ইন্টারনেট অফারটি প্রতি ১৫ দিনে একবার, মাসে সর্… See more",Network Issue
"আমরা গোপালপুর পৌরসভার (লালপুর ,নাটোর)বাসিন্দা। দীর্ঘ ৭-৮ মাস যাবত টেলিটকের নেটওয়ার্ক না থাকায় ,পৌরবাসী দেশীয় মোবাইল নেটওয়ার্কিং থেকে বঞ্চিত হচ্ছে। বিষয়টি রাজশাহী ও নাটোর টেলিটকের কাস্টমার কেয়ারকে বারংবার অবহিত করা হলেও ,তারা প্রয়োজনীয় ব্যবস্থা গ্রহণ করেননি।",Network Issue
#নেটওয়ার্ক সার্ভিস খুবই বাজে অবস্থা রাজধানীর দক্ষিনসিটি এলাকায় নেট চলেই না একদম।,Network Issue
"আমি খাম্বাই পাই না, নেট চালাই ক্যামনে?",Network Issue
Network 3g পাইনা,Network Issue
শুধু মাএ বন্ধ সিমের ক্ষেত্রে প্রযোজ্য,Promotional
আগে আপনাদের নেটওয়ার্ক ঠিক করুন,Network Issue
আমি শেরপুর থেকে কিভাবে বর্ণমালা সিম পেতে পারি বিস্তারিত জানতে চাই?,Promotional
ভাই আগে নেটওয়ার্ক ঠিক করেন তারপর অফার দিয়েন।,Network Issue
"ঠিকমতো 2G ও পায় না, আইছেন আবার অফার নিয়ে।",Internet Package Issue
নেটওয়ার্ক পাই না চালাবো কেমনে,Network Issue
আমার একটা সিম আছে কিন্তু ব্যবহার করতে পারছি না নেটওয়ার্ক সমস্যা,Network Issue
আমি কিছু আগে চালু করছিলাম বন্ধ সিমের অফার দেখে কিন্তু সেই সময় আপনার এই অফার সাময়িক সময়ের জন্য বন্ধ ছিলো আমি কি এখন এই অফার টিনপেতে পারি,Internet Package Issue
আমার সিমে তো ৯ টাকা অফার টা আছে না,Internet Package Issue
এগুলো কি নিয়মিত অফার নাকি শুধু একবারের জন্য,Internet Package Issue
এই অফার গুলো কত বার নিতে পারব।,Internet Package Issue
কয়েকদিন বন্ধ রাখার পর এখন আর লাইনই পায় না।,Promotional
পাওয়ার চলে গেলে নেটওয়ার্ক চলে যায় কেনো আপনার কাছে জানতে চাই,Network Issue
"শর্তবার্ষে,কী এই অফার আছে??",Internet Package Issue
আর চালু থাকা সিমে হবে কী??,Promotional
কতোদিন সীম বন্ধ থাকলে বন্ধ সীম এর আওতাভুক্ত হবে?,Promotional
একটা সীম ৪ মাস বন্ধ ছিলো কিন্তু অফার দেয় নাই।,Internet Package Issue
খোলা থাকা সিম গুলোকে আগে সার্ভিস ভালো দেন। আবার আসছে বন্ধ থাকা। যেগুলো খোলা সেটাই ঠিক মত নেট থাকে না।,Network Issue
আমাদের এদিকে টেলিটক এর টাওয়ার ও নেই,Network Issue
"আমার এরিয়ায় টেলিটকের নেটওয়ার্ক এর অবস্থা খুবই খারাপ, টুজি নেটওয়ার্কটা ঠিকমতো পাওয়া যায়না।",Network Issue
নেটওয়ার্কের সমস্যা তাই বন্ধ করে রাখছি।,Network Issue
বন্ধ সিম ছাড়া সচল সিমে হবে না এই অফার।,Internet Package Issue
নেটওয়ার্ক তো নাই,Network Issue
সিম যেমন সিমের কোম্পানি তেমন *,Promotional
একটা সিম কতো দিন অফ থাকলে সেটা বন্ধ থাকা সিম হিসাবে গণ্য হবে?,Promotional
চিটাগং এর কোথায় আপনাদের care office?,Internet Package Issue
আগে নেটওয়ার্ক সঠিকভাবে দেন,Network Issue
নেটওয়ার্ক সমস্যা বেশি,Network Issue
টেলিটক ৩জি সিম ৪জি তে রিপ্লেস করতে কত টাকা লাগবে?,3g/4g Issue
এইজন্য আমাদের এলাকায় প্রায় ছয় মাস থেকে নেটওয়ার্ক নাই,Network Issue
"গুল্টা বাজার,,তাড়াশ,,সিরাজগঞ্জের টেলিটকের কোনো নেটওয়ার্ক পায় না?",Network Issue
নেটওয়ার্ক সমস্যা ঠিক করেন।,Network Issue
নতুন সিম ক্রয় করলে এই অফার গুলো কি প্রযোজ্য হবে?,Internet Package Issue
টেলিটক নতুন সিমের অফিসিয়াল প্রাইজ কতো? আর নতুন সিমের সাথে ফ্রি থাকছে কয় জিবি ডাটা?,Internet Package Issue
নেট ওর্য়াক অনেক দুর্বল,Network Issue
সিমে নেটওয়ার্ক থাকেনা,Network Issue
এটা কি শুধু বন্ধ সিমের অফার,Internet Package Issue
যে চুলের নেটওয়ার্ক কভারেজ আর স্পিড তাতে করে টেলিটক সব সিমই বন্ধ করে রাখা উচিত.......,Network Issue
"আমার টেলিটক একটা সিম দুই থেকে তিন মাস ব্যবহার করি নাই, তার পর আমার সিম টা মোবাইলে লাগিয়ে দেখি সিম আসতেছে না এটা কি জন্য।",Promotional
সিম কত দিন বন্ধ থাকলে বন্ধ সিমের তালিকাভুক্ত হয়?,Promotional
মিনিট অফার নেই,Internet Package Issue
কত দিন বন্ধ থাকলে বন্ধ সিমের অফার পাওয়া যায়?,Internet Package Issue
ফালতু সিমের ফালতু নেটওয়ার্ক,Network Issue
টেলিটক সিম পাওয়া যায় না,Promotional
"আমার একটা টেলিটক সিম দীর্ঘদিন ধরে বন্ধ হয়ে আছে, কিন্তু এখন আমি কোনো ভাবেই সিম টা সচল করতে পারছি না",Promotional
টেলিটক নেটওয়ার্ক এর মান এখন অবধি ভালো হচ্ছেনা কেন?,Network Issue
"আমার তিনটা সিম আছে, বর্ণমালা, স্বাগতম কিন্ত কোনো এমবি ব্যবহার করি না, কারণ",Promotional
নেটওয়ার্ক পায় না,Network Issue
টেলিটকের নেটওয়ার্কের যে বাহার........,Network Issue
চালু করে কি করবো? সীমের নেটওয়ার্ক ইতো থাকে না!!,Network Issue
সারা বাংলাদেশে আগে আপনাদের নেটওয়ার্ক ঠিক করুন তারপরে এড দিন আমার মনে হয় ভালো হবে কারণ আমরা যারা বাংলাদেশের সবাই টেলিটক সিম ব্যবহার করতে আগ্রহী কিন্তু নেটওয়ার্কের সমস্যার কারণে টেলিটক সিম ব্যবহার করতে পারি না এবং কথা বলতে পারছি না।,Network Issue
"নেটই তো পাই না, অফার দিয়ে কি করব",Network Issue
আমরা যারা এতো নেটওয়ার্ক সমস্যার মধ্যেও সিম সচল রেখেছি তাদের জন্য কি অফার?,Network Issue
"নাহ, এবার সিমটা বন্ধই রাখতে হবে।",Promotional
কতো দিন সিম অফ থাকলে তা বন্ধ সিমের আওতায় আসে?,Promotional
টেলিটক এপ ফ্রিতে ব্যবহার করতে পারবো কবে থেকে,Availability
সিম হারিয়ে গেছে উঠানো জন্য চাজ ফ্রি,Promotional
বেশ ভালো একটা অফার।,Internet Package Issue
নেটওয়ার্ক ই তো থাকে না,Network Issue
আমার একটি সিম হারিয়ে গেছে,Promotional
"বর্ণমালা অফারটা কি পরিবর্তন করা হয়েছে,,,???",Internet Package Issue
এই সিম কই পাওয়া যাবে ভাই আমি নতুন কিন্তে চাই,Promotional
নেট এত স্লো ক্যা,Network Issue
মৌলভীবাজারের বড়লেখা থানা থেকে বলছি এখানে আপনাদের অফিস বা' প্রতিনিধি ঠিকানা কোথায়,Internet Package Issue
"ইলেক্ট্রিসিটি চলে যাবার সাথে সাথে নেটওয়ার্ক চলে যায়, এইটা কেমনে হয় আগে জানতে চাই",Network Issue
কতদিন বন্ধ থাকলে এই অফার পাওয়া যাবে আর কোন প্যাকেজে পাওয়া যাবে?,Internet Package Issue
গতকাল চালু করার কারণে আমার নাম্বারটি এই সুবিধার আওতাভুক্ত নয়। একেমন সিদ্ধান্ত।,Availability
নেটওর্য়াক পাই না তো,Network Issue
সচল রাখলেও তো বন্ধ থাকে নেটওয়ার্কের জন্য,Network Issue
"আইয়া বা*ল ফালাইতাম নি, কারেন্ট যাওয়ার সাথে সাথে নেট যায় গিয়া, বাজার অ গেলে নেট যায় গিয়া।",Network Issue
সিম রিপ্লেসমেন্ট করলে এই অফার পাওয়া যাবে?,Internet Package Issue
বর্ণমালা সিম কি রেজিস্ট্রেশন বন্ধ,Promotional
খুব ভালো অপারেটর বিদ্যুৎ চলে গেলে আর নেটওয়ার্ক থাকেনা।,Network Issue
নেটওয়ার্ক প্রকট দুর্বল!!! ইন্টারনেট ব্যবহার তো দুরের কথা!!!,Network Issue
কয় মাস বন্ধ থাকতে হবে,Promotional
"সিমের দাম টা একটু কমান,",Promotional
আর দয়া করে পার্বত্য অঞ্চলে নেটওয়ার্ক টা একটু শক্তিশালি করুন।,Network Issue
আপনাদের কাছে V I P নাম্বার আছে না কি?,Availability
Teletalk কত মাস সিম বন্ধ রাখতে হয়।,Promotional
বন্ধ সিমের নাম্বার টা লিখে ১১২ তে পাঠালে কোনো রিপ্লাই আসে না।কত দিন বন্ধ থাকলে এ অফার পাওয়া যাবে?,Internet Package Issue
"আমি একটি সিম কিনছিলাম, কিন্তু এখন ওঠা লাইন পাচ্ছে না",Promotional
টেলিটক এ কি ডায়েল করে নম্বর দেখা যায়?,Availability
আপনাদের কাস্টমার কেয়ারের সার্ভিস ভালো না,Internet Issue
"যে আপনাদের নেটের অবস্থা তাতে বন্ধ সিম চালু তো দুরের কথা,পারলে চালু সিমটা না বন্ধ করি,ফালতু আপনাদের সার্ভিস।",Network Issue
কতো দিন বন্ধ থাকলে সিম রিসাইকেল হয়ে যায়?,Promotional
গ্রামে আপনাদের সিম-ই তো ওপেন হয়না। ইন্টারনেট চালাবো কি দিয়ে??,Network Issue
কতদিন সিম বন্ধ থাকলে এই অফার পাওয়া যাবে?,Internet Package Issue
নেটওয়ার্ক সমস্যার কারণে ৬ বছর ব্যাবহার করা প্রাইমারি সিম খুলে রাখলাম,Network Issue
Teletalk কল করে অভিযোগ করার পর ও কোন সমাধান নাই। আর এখানে জানালে এখানেই পড়ে থাকবে,Promotional
কারেন্ট না-থাকলে টাওয়ার নাই,Network Issue
এতো বাজে নেটওয়ার্ক সমস্যা নিয়ে এই ডাটা কি করে চালাবো,Network Issue
সব ঠিক আছে কিন্তু আমার বাড়িতে নেটওয়ার্ক পায় না,Network Issue
আমারটা বন্ধ সিম,Promotional
আমি গত কাল রিচাজ করার পর ও খুল না কেন আমার সিতা বন্ধ সিলো কিকরলে সিম টাখুলবে যে,Promotional
"নেটওয়ার্ক নাই কোন জায়গায়, দেশের সিমের কোন উন্নয়ন নাই",Network Issue
আপনার সিমের তো বাংলাদেশের কোন জায়গা নেটওয়ার্ক নাই। এগুলো দিয়ে কি করবো,Network Issue
সিমটা বন্ধ থাকায় ভালো কারণ অল্প টাকায় GB পাওয়া গেলেও নেটওয়ার্ক খুব খারাপ বলে অযথা সময় নষ্ট করার কোনো দরকার নাই।,Network Issue
দুর্বল নেটওয়ার্ক শক্ত করুন। না হলে যারা অন আছে তারাও বন্ধ করে দিবে...,Network Issue
যে সিমের নেটওয়ার্ক নাই সেই সিমে এরকম অফার ঘোষণা করা সত্যিই হাস্যকর,Network Issue
নেটওয়ার্ক কালেকশন দূর্বল,Network Issue
সব ঠিক আছে কিন্তু এলাকায় নেটওয়ার্ক নেই।,Network Issue
কত দিন বন্ধ থাকলে অফার পাওয়া যাবে?,Internet Package Issue
আগে নেটওয়ার্ক ঠিক করেন। স্টিভ জব্বারকে ডাক ও টেলিযোগাযোগ মন্ত্রী থেকে বিতাড়িত করুন।,Network Issue
অফারগুলো কোনটা কতবার নেয়া যাবে??,Internet Package Issue
নেটওয়ার্ক খুবই দুঃখ জনক ভাবে খারাপ। নেট চালানোর কথা তো ভাবাই যায় না।,Network Issue
"আজকের অফার ঠিক আছে,",Internet Package Issue
"কামার পাড়া, আশুলিয়া, জিরাবো, জামগড়া, বাইপাইল রুটে নেটওয়ার্ক খুব খারাপ।",Network Issue
"বস, এর নেটওয়ার্কই তো নেই। কি করে এর সেবা গ্রহন করবো",Network Issue
"কিন্তু দুঃখের বিষয় হলো আমাদের এলাকায় কোন নেট পায়না,, টেলিটক সিমে।",Network Issue
কমপক্ষে কতদিন বন্ধ থাকা লাগবে এই অফারের জন্য?,Internet Package Issue
আমি গত ৬ মাস থেকে এই টেলিটক সিম ব্যবহার করতেছি বাট আমি কোন অফার পাইতেছি না আগে যা ছিলো এখনো সেই অফার গুলো আমাকে নিতে হচ্ছে দয়া করে আমাকে সাহায্য করেন,Internet Package Issue
"সব ঠিক আছে আমাদের এলাকায়,, শুধু বিদ্যুৎ গেলে নেট থাকেনা। আলাদা পাওয়ার সাপ্লাই করলে সব ঠিক।",Network Issue
মাদারীপুর এখনো 3g 4g চালু হয়নি কেনো তা কি যানতে পারি???,3g/4g Issue
"ধুর মিয়া, আপনাদের নেট ঠিক মতো পাওয়া যায় না আর এমবি দিয়া কি করবো",Network Issue
নেটওয়ার্ক নাই।,Network Issue
যেখানে নেটওয়ার্কই থাকেনা সেখানে এইসব প্যাকেজ কেন বিলাসিতা,Network Issue
নেটওয়ার্ক ভালোমতো পায় না। নেটওয়ার্ক সিস্টেম আপগ্রেড করেন। অনেক সময় কথাও ঠিকমতো বুঝা যায় না। সারা বাংলাদেশেই নেটওয়ার্ক গ্রামীণফোনের মতো শক্তিশালী করেন।,Network Issue
চট্রগ্রামের হালিশহরে আপনাদের নেটের অবস্থা খুবই বাজে।,Network Issue
নেটওয়ার্ক সমস্যা সিমে তাই টয়লেটে ফেলে দিছি,Network Issue
Teletalk office কোথায় নারায়ণগঞ্জে আমার সিম টি কাজ করছে না,Promotional
আপনাদের থেকে এমবি কিনে কোন লাভ নেই।,Promotional
আপনাদের মত ফালতু নেটওয়ার্ক আর কারো নেই।,Network Issue
টেলিটকের অটোমেটিক নেটওয়ার্ক সেটিং কোন অপশন নাই?,Network Issue
"দেই না তো নেট , ভূয়া পোষ্ট",Network Issue
এই মুহূর্তে 3g চালাতে যাবে কে......???,3g/4g Issue
"নেটওয়ার্ক দুর্বল, নেট চলে গরুর গাড়ির মতো,সিম আছে কিন্তু চালানো হয়না।",Network Issue
"আমাদের এলাকায় টেলিটক কোন নেটওয়ার্ক পাইনা ও নেটওয়ার্ক সমস্যা,নেট চলে না",Network Issue
বাজে নেটওয়ার্ক,Network Issue
যেখানে নেটওয়ার্ক নাই। সেখানে সিন বন্ধ থাকায় স্বাভাবিক।,Network Issue
মাগার নেটওয়ার্কের সমস্যা।,Network Issue
"-স্পেশাল ইন্টারনেট অফারটি প্রতি ১৫ দিনে একবার, মাসে সর্বোচ্চ দুইবার নে… See more",Network Issue
২০১১ তে SSC তে A+ পাওয়ায় আপনাদের দেওয়া আগামী সিম টা এখন পাওয়া যাচ্ছে না। এখন সিম টা তোলার উপায় কি?,Promotional
নেটওয়ার্ক নাই ২ জি পর্যন্ত পায়না। ডাটা নিয়ে কি করবো?,Network Issue
পিরোজপুরে নেটওয়ার্ক ব্যবস্থা ভালো‌ করুন।,Network Issue
আপনার শুধুমাত্র একটা নামে সিম কম্পানি,Promotional
"আগে নেটওয়ার্ক ঠিক করেন তারপর অফার দিবেন, তারপর কথা বইলেন",Network Issue
"রাজধানীর কেন্দ্রবিন্দুতে থেকেও ইন্টারনেটের খুবই বাজে সার্ভিস পাই, আর গ্রামে গেলেতো কেউ আমাকে খুঁজেই পায় না, out of reach, সরকারী সিমের ব্যবস্থাপনা সবচেয়ে ভালো হওয়ার কথা, কিন্তু সবচেয়ে বাজে",Network Issue
নেটওয়ার্কের সমস্যার জন্য টেলিটক সিম চালানোই বাদ দিয়া দিছি।,Network Issue
সুপার ফাস্ট নেটওয়ার্ক,Network Issue
নেটের স্পীড এতোটাই স্লো যে ফেসবুকে ঢুকাই যায় না,Network Issue
ফোরজি বন্ধের আবেদন,Promotional
"আমার এলাকায় ফোরজি নেটওয়ার্ক বন্ধ করবেন প্লীজ,যতক্ষণ ফোরজি চলে আসে কোনোকিছু ব্রাউজ হয়না, থ্রিজি আসলে তখন সব ঠিকঠাক,ফোরজি অফ করে দিলে ভালো হয়",Network Issue
আমার টেলিটক সিমটি গত ১৪ জুন তারিখে মোবাইল থেকে খুলে রেখেছিলাম। আজকে ২০ জুন সিমটি মোবাইলে লাগানোর পর সিম কার্ড চালু হচ্ছে না। ৫০ টাকা রিচার্জ করলাম কিন্তু তারপরও একই সমস্যা। এটা কেন হলো?,Promotional
বিদ্যুৎ চলে গলে আপনাদের নেটওয়ার্ক ও চলে যায় কেন...???,Network Issue
অফার দেখে সিম কিনছি কিন্তু আমাদের এলাকায় ৩জি ৪ জি পায় না,Internet Package Issue
দিনাবন্ধু রাজবংশী,Promotional
নেটওয়ার্ক প্রবলেম,Network Issue
ওফার লাগবে না নেটওয়ার্ক ঠিক করেন,Network Issue
আপনাদের সিম কিনতে চাইলে ও কিন্তে পারি না,Promotional
সুধু কষ্ট করে কল যাওয়া আসা করে। কিন্তু মানুষের বকা খাইতে হয় কি বা.....র সিম ব্যাবহার করিস তোর ফোন বন্ধো দেখায় আর এমবি,Promotional
কলের সময় নেটওয়ার্ক নাই নেট তো দিবাস্বপ্ন,Network Issue
আমি কেন 4G উপভোগ করতে পরছি না???,3g/4g Issue
ঘরের ভিতর ৪জি পায় না কিছু করেন,3g/4g Issue
যেখানে কথাবলার জন্যই নেট পাই না সেখানে আবার ইন্টারনেট !,Network Issue
নেটওয়ার্কের অবস্থা ভয়াবহ খারাপ আগের নেটওয়ার্ক ঠিক করেন ঘরের ভিতরে নেট পাওয়া যায় না বিশেষ করে গ্রাম গঞ্জের টিনের ঘরের মধ্যে এটা দ্রুত সমাধান করেন তাহলে সবই ঠিক,Network Issue
"নওগাঁ, সাপাহার এ কোন নেটওয়ার্ক নেই।",Network Issue
সকল সচল টেলিটক সিমেও এই অফার চালু করা হওক,Internet Package Issue
গ্রাম পর্যায়ে তো নেটওয়ার্ক নাই ব্রো,Network Issue
দুর্ভাগ্যজনক হলেও এটাই সত্যি নেট পায় না,Network Issue
তোদের এই নেটওয়ার্ক আগে ভালো কর তারপরে অফার দিস,Network Issue
আজ একটা Teletalk সিম নাই বলে অফার গুলো নিতে পারলাম না,Internet Package Issue
"আগে নেটওয়ার্ক সার্ভিস ভালো হউক, দেন অফার ভোগ করব।",Network Issue
টেলিটক অফার দিয়ে লাভ নেই কারণ সব জায়গায় তো নেটওয়ার্ক থাকে না।,Network Issue
নেটওয়ার্ক H+ ছাড়া অন্য কোন কিছু আসে নাহ ক্যা..?,Network Issue
"টেলিটক বাংলাদেশের কোথাও ঠিক মতো নেটওয়ার্ক পায় না,আমার ৩ টা সিম আছে বাট একটাও ব্যাবহার করিনা,শুধু নেটওয়ার্ক থাকে না বলে,অথচো আমার বাড়ির হাফ কিলোর ভেতর টেলিটক টাওয়ার।",Network Issue
বর্ণমালা সিমে এই অফার পাবো??,Internet Package Issue
নরসিংদী সদরে চিনিশপুর ইউনিয়নে ৫নং ওয়াড এ টেলিটক এর ২জি ছাড়া ৩জি ৪জি কিছুই পাওয়া যায় না।।।,3g/4g Issue
আমার নাম্বার ওয়ান টেলিটক নেটওয়ার্ক আমার ফ্যামিলির প্রত্যেক জনের পার্সোনাল নাম্বার টেলিটক নেটওয়ার্ক দুঃখের বিষয় হলো বৃষ্টি নামলে কোন নেটওয়ার্কের ফোন দিয়ে কথা বলা যায় না ইমারজেন্সি লেখা আছে বৃষ্টি শেষ হয়ে গেলে তাও নেটওয়ার্ক আসে ডাটা ইউজ করা যা… See more,Network Issue
অফার গুলো চালু সিমে পাওয়া যাবে,Internet Package Issue
এই রকম নাম্বার কেউ দিতে পারবেন?,Availability
আমার একটা শতবর্ষ সিম ছিল বন্ধ করে রাখার কারণে এখন নেটওয়ার্ক পায়না এখন কি করনীয়,Network Issue
নেটওয়ার্ক কাভারেজ শক্তিশালী করুন।,Network Issue
নিকেতন এলাকায় নেটওয়ার্ক ঠিক মতো পাইনা,Network Issue
"সিমটা অফ করে দিতে চাই, যে নেটওয়ার্ক এর গতি। কথা বলার নেটওয়ার্ক নাই।",Network Issue
উন্নত নেটওয়ার্ক ব্যবস্থার কারণে আমার সিম দিনে প্রায় ২৩ ঘন্টা ৪৮ মিনিট ৪৭ সেকেন্ড সময়ই emergency থাকে আমি কি এই অফার পাব??,Network Issue
আমার 4G সিমে 3G লেখা আসে ডাটা ব্যবহার করতে গেলে 3G পায়,Internet Package Issue
হারিকেন দিয়ে খুজেও নেটওয়ার্ক পাইনা,Network Issue
কি হবে এই অফার নিয়ে যদি চালাতে না পারি ।,Internet Package Issue
